Input,Output
ren,men
opan,open
cur,our
beok,book
wht,who
bell,bell
bcuse,house
someine,someone
ruturns,returns
beeter,better
beuty,beauty
hadsome,handsome
happi,happy
belive,believe
diificult,difficult
kep,kept
abot,about
lugh,laugh
leaning,leaning
piple,pipe
diriction,direction
evething,everything
thusand,thousand
resilts,results
kontol,control
Hello,Hello
wht,who
Hello,Hello
wht,who
wht,who
wht,who
kntl,into
well,well
well2,well
Well,well
Well3,well
bqll,ball
houme s,house s
Well3,well
wht,who
tqll,tell
kontol,control
tqll,tell
well,well
wht,who
well,well
well <@1116344872752906280>,well 1116344872752906280
tqll,tell
well2,well
pipe,pipe
wall <@1116344872752906280>,wall 1116344872752906280
well <@1116344872752906280>,well 
well,well
wqll <@1116344872752906280>,will 
well,well
walq,wall
wall <@1116344872752906280>,wall 
wqll <@1116344872752906280>,will 
qall <@1116344872752906280>,all @
qwell <1116344872752906280>,well @
